"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S980","2020-02-28 00:00:00","901.000","293.000","1.300","14.600","1.000","919.400","","2.000","-99.000","-99.000","-99.000","16.600","","14.600",""
"C0X110","2020-02-28 00:00:00","20.000","36.000","1.700","20.900","0.890","1017.500","","0.000","-99.000","-99.000","-99.000","26.600","","20.800",""
"C0V310","2020-02-28 00:00:00","46.000","0.000","0.000","21.700","0.810","1013.000","","0.000","-99.000","-99.000","-99.000","28.100","","21.000",""
"C0G620","2020-02-28 00:00:00","110.000","278.000","0.800","16.800","0.970","1006.000","","0.000","-99.000","-99.000","-99.000","28.800","","16.800",""
"C0AD50","2020-02-28 00:00:00","84.000","74.000","5.000","19.800","1.000","1010.300","","0.000","11.500","54.000","","20.600","","17.500",""
"C0A9A0","2020-02-28 00:00:00","24.000","101.000","3.700","19.400","0.930","1018.100","","0.000","-99.000","-99.000","-99.000","20.500","","18.200",""
"C0O830","2020-02-28 00:00:00","127.000","183.000","0.300","19.800","0.990","1005.100","","0.000","-99.000","-99.000","-99.000","27.700","","19.200",""
"C0S760","2020-02-28 00:00:00","1621.000","0.000","0.100","10.800","1.000","844.900","","0.000","-99.000","-99.000","-99.000","14.600","","10.600",""
"C0X160","2020-02-28 00:00:00","26.000","344.000","2.000","20.500","0.950","1016.800","","0.000","-99.000","-99.000","-99.000","27.300","","20.500",""
"C0C490","2020-02-28 00:00:00","157.000","75.000","1.900","19.500","0.800","1001.000","","0.000","8.500","78.000","","22.400","","17.800",""
"C0F970","2020-02-28 00:00:00","145.000","94.000","0.900","18.600","0.840","1001.600","","0.000","-99.000","-99.000","-99.000","25.000","","17.700",""
"C0R440","2020-02-28 00:00:00","1654.000","48.000","9.700","10.900","1.000","837.800","","2.000","15.300","40.000","","13.300","","10.900",""
"C0M690","2020-02-28 00:00:00","33.000","354.000","1.500","18.700","0.910","1014.700","","0.000","-99.000","-99.000","-99.000","25.300","","18.700",""
"C0V690","2020-02-28 00:00:00","30.000","40.000","1.200","22.100","0.830","1016.200","","0.000","-99.000","-99.000","-99.000","25.600","","21.000",""
"C0Z210","2020-02-28 00:00:00","126.000","0.000","0.200","17.600","0.990","1008.300","","1.000","-99.000","-99.000","-99.000","20.900","","17.600",""
"C0U770","2020-02-28 00:00:00","5.000","310.000","3.200","19.200","0.990","1021.100","","0.000","-99.000","-99.000","-99.000","21.800","","18.900",""
"C0Z080","2020-02-28 00:00:00","298.000","0.000","0.000","16.600","0.960","987.100","","1.000","-99.000","-99.000","-99.000","20.400","","16.600",""
"C0G640","2020-02-28 00:00:00","17.000","39.000","1.600","18.600","0.870","1019.900","","0.000","-99.000","-99.000","-99.000","23.500","","18.400",""
"C0X200","2020-02-28 00:00:00","61.000","266.000","0.700","19.100","0.990","1012.100","","0.000","-99.000","-99.000","-99.000","26.600","","19.000",""
"C0U900","2020-02-28 00:00:00","63.000","0.000","0.100","18.100","0.990","1015.800","","10.000","-99.000","-99.000","-99.000","20.400","","16.900",""
"C0Z230","2020-02-28 00:00:00","31.000","336.000","2.200","20.400","0.740","1018.800","","0.000","-99.000","-99.000","-99.000","21.800","","19.500",""
"C0C540","2020-02-28 00:00:00","46.000","44.000","2.700","18.200","0.880","1014.600","","0.000","-99.000","-99.000","-99.000","20.600","","17.400",""
"C0G770","2020-02-28 00:00:00","15.000","43.000","1.300","19.700","0.830","1017.500","","0.000","-99.000","-99.000","-99.000","23.800","","19.300",""
"C0V670","2020-02-28 00:00:00","20.000","330.000","1.800","21.800","0.810","1016.800","","0.000","-99.000","-99.000","-99.000","26.800","","21.100",""
"C0A870","2020-02-28 00:00:00","685.000","91.000","8.100","15.500","1.000","940.800","","22.500","-99.000","-99.000","-99.000","15.500","","12.700",""
"C0R220","2020-02-28 00:00:00","23.000","296.000","0.300","21.500","1.000","1016.500","","0.000","-99.000","-99.000","-99.000","26.000","","20.800",""
"C0Z220","2020-02-28 00:00:00","589.000","254.000","2.100","15.500","1.000","955.800","","0.000","-99.000","-99.000","-99.000","19.200","","15.500",""
"C0D560","2020-02-28 00:00:00","147.000","105.000","0.500","17.900","0.850","1002.800","","0.000","-99.000","-99.000","-99.000","24.400","","17.500",""
"C0I380","2020-02-28 00:00:00","258.000","0.000","0.000","17.900","0.980","988.600","","0.000","-99.000","-99.000","-99.000","27.800","","16.400",""
"C0Z020","2020-02-28 00:00:00","211.000","326.000","1.600","18.200","0.990","996.400","","0.500","-99.000","-99.000","-99.000","20.400","","18.100",""
"C0Z190","2020-02-28 00:00:00","62.000","302.000","0.900","19.500","1.000","1014.000","","0.000","-99.000","-99.000","-99.000","21.900","","19.500",""
"C0C710","2020-02-28 00:00:00","143.000","160.000","1.300","18.100","0.990","1003.300","","0.000","-99.000","-99.000","-99.000","21.300","","16.300",""
"C0D360","2020-02-28 00:00:00","523.000","0.000","0.000","14.500","0.880","957.900","","0.000","-99.000","-99.000","-99.000","22.300","","13.900",""
"C0C680","2020-02-28 00:00:00","228.000","103.000","3.900","17.600","0.900","992.000","","0.000","-99.000","-99.000","-99.000","19.200","","16.500",""
"C0X140","2020-02-28 00:00:00","17.000","335.000","0.300","20.000","0.860","1017.000","","0.000","-99.000","-99.000","-99.000","27.700","","20.000",""
"C0V710","2020-02-28 00:00:00","34.000","319.000","1.900","22.400","0.780","1014.800","","0.000","-99.000","-99.000","-99.000","26.400","","21.300",""
"C0G840","2020-02-28 00:00:00","32.000","8.000","0.500","17.900","0.960","1015.200","","0.000","-99.000","-99.000","-99.000","26.100","","17.900",""
"C0S890","2020-02-28 00:00:00","238.000","31.000","0.300","18.400","0.900","997.100","","0.000","-99.000","-99.000","-99.000","21.900","","18.400",""
"C0T820","2020-02-28 00:00:00","550.000","0.000","0.100","15.700","0.880","962.800","","0.000","-99.000","-99.000","-99.000","21.100","","15.000",""
"C0F9I0","2020-02-28 00:00:00","194.000","10.000","1.500","16.900","0.970","996.300","","0.000","-99.000","-99.000","-99.000","22.400","","16.900",""
"C0C650","2020-02-28 00:00:00","208.000","55.000","1.000","18.000","0.860","995.100","","0.000","-99.000","-99.000","-99.000","20.500","","16.000",""
"C0R600","2020-02-28 00:00:00","766.000","282.000","1.400","17.800","0.990","932.400","","4.000","-99.000","-99.000","-99.000","20.900","","17.800",""
"C0Z320","2020-02-28 00:00:00","646.000","0.000","0.100","14.200","1.000","947.900","","0.500","-99.000","-99.000","-99.000","17.800","","13.400",""
"C0V210","2020-02-28 00:00:00","734.000","100.000","0.700","17.600","0.900","937.500","","0.000","-99.000","-99.000","-99.000","26.500","","13.600",""
"C0K240","2020-02-28 00:00:00","1132.000","330.000","2.100","14.700","0.930","896.600","","0.000","-99.000","-99.000","-99.000","22.900","","14.700",""
"C0M520","2020-02-28 00:00:00","15.000","16.000","1.300","18.600","0.870","1017.300","","0.000","-99.000","-99.000","-99.000","25.200","","18.500",""
"C0A530","2020-02-28 00:00:00","300.000","57.000","2.100","17.100","0.990","986.500","","1.500","-99.000","-99.000","-99.000","18.200","","15.200",""
"C0E820","2020-02-28 00:00:00","220.000","254.000","0.600","17.500","0.860","994.200","","0.000","-99.000","-99.000","-99.000","22.700","","16.800",""
"C0K450","2020-02-28 00:00:00","35.000","3.000","0.600","18.600","0.820","1014.600","","0.000","-99.000","-99.000","-99.000","25.100","","18.600",""
"C0G760","2020-02-28 00:00:00","53.000","0.000","0.000","18.100","0.990","1015.700","","0.000","-99.000","-99.000","-99.000","25.800","","18.100",""
"CM0120","2020-02-28 00:00:00","4.000","53.000","3.900","20.100","0.780","1018.800","","0.000","-99.000","-99.000","-99.000","22.300","","19.600",""
"C0Z290","2020-02-28 00:00:00","946.000","0.000","0.100","14.100","0.990","915.800","","7.500","-99.000","-99.000","-99.000","15.900","","13.300",""
"C0V680","2020-02-28 00:00:00","40.000","343.000","1.800","21.600","0.820","1014.300","","0.000","-99.000","-99.000","-99.000","27.200","","20.600",""
"C0F9U0","2020-02-28 00:00:00","74.000","46.000","1.200","19.600","0.830","1010.500","","0.000","-99.000","-99.000","-99.000","26.200","","19.300",""
"C0AI10","2020-02-28 00:00:00","76.000","174.000","2.000","20.500","0.820","1011.300","","1.000","-99.000","-99.000","-99.000","21.500","","16.600",""
"C0V530","2020-02-28 00:00:00","34.000","347.000","1.800","19.900","1.000","1015.000","","0.000","-99.000","-99.000","-99.000","27.200","","19.900",""
"C0R550","2020-02-28 00:00:00","38.000","89.000","1.300","20.300","1.000","1015.200","","0.000","-99.000","-99.000","-99.000","25.900","","19.700",""
"C0F9L0","2020-02-28 00:00:00","253.000","53.000","0.600","17.500","0.940","989.500","","0.000","-99.000","-99.000","-99.000","24.000","","17.200",""
"C0A950","2020-02-28 00:00:00","60.000","99.000","8.800","20.200","0.920","1014.300","","0.500","-99.000","-99.000","-99.000","20.200","","17.200",""
"C0R160","2020-02-28 00:00:00","45.000","358.000","0.900","20.800","0.990","1013.100","","0.000","-99.000","-99.000","-99.000","27.100","","20.000",""
"C0F9S0","2020-02-28 00:00:00","43.000","355.000","1.500","19.100","0.820","1014.600","","0.000","-99.000","-99.000","-99.000","25.600","","18.700",""
"C0M820","2020-02-28 00:00:00","980.000","0.000","0.000","14.600","0.780","910.600","","0.000","-99.000","-99.000","-99.000","22.900","","14.000",""
"C0G870","2020-02-28 00:00:00","12.000","58.000","1.000","18.900","0.820","1018.900","","0.000","-99.000","-99.000","-99.000","23.400","","18.600",""
"C0R530","2020-02-28 00:00:00","16.000","8.000","1.400","21.200","0.820","1016.900","","0.000","-99.000","-99.000","-99.000","25.100","","20.500",""
"C0O840","2020-02-28 00:00:00","134.000","0.000","0.000","18.600","1.000","1002.000","","0.000","-99.000","-99.000","-99.000","26.000","","18.600",""
"C0A890","2020-02-28 00:00:00","40.000","0.000","0.000","18.200","0.990","1016.000","","15.500","-99.000","-99.000","-99.000","19.200","","17.300",""
"C0A660","2020-02-28 00:00:00","97.000","74.000","1.300","18.500","0.960","1009.600","","11.500","-99.000","-99.000","-99.000","18.500","","16.700",""
"C0T9H0","2020-02-28 00:00:00","725.000","5.000","3.100","14.600","0.990","940.300","","0.000","-99.000","-99.000","-99.000","17.100","","14.300",""
"C0R270","2020-02-28 00:00:00","51.000","321.000","1.400","21.600","1.000","1012.000","","0.000","-99.000","-99.000","-99.000","27.000","","21.500",""
"C0O980","2020-02-28 00:00:00","18.000","339.000","1.000","19.400","0.910","1018.600","","0.000","-99.000","-99.000","-99.000","28.400","","19.400",""
"C0T9I0","2020-02-28 00:00:00","152.000","217.000","1.500","17.700","0.880","1004.900","","10.500","-99.000","-99.000","-99.000","20.900","","17.700",""
"C0V760","2020-02-28 00:00:00","30.000","2.000","0.800","21.800","0.900","1016.300","","0.000","-99.000","-99.000","-99.000","28.100","","21.100",""
"C0AG90","2020-02-28 00:00:00","25.000","39.000","1.000","20.100","0.860","1018.200","","0.000","-99.000","-99.000","-99.000","20.600","","18.500",""
"C0R570","2020-02-28 00:00:00","37.000","87.000","1.300","22.100","0.850","1013.500","","0.000","-99.000","-99.000","-99.000","26.900","","21.000",""
"C0O900","2020-02-28 00:00:00","9.000","326.000","1.700","19.300","0.990","1018.600","","0.000","-99.000","-99.000","-99.000","27.200","","19.300",""
"C0AD00","2020-02-28 00:00:00","86.000","63.000","1.000","18.800","0.940","1011.400","","4.000","-99.000","-99.000","-99.000","18.800","","17.100",""
"C0AH00","2020-02-28 00:00:00","38.000","99.000","1.200","18.500","1.000","1016.600","","8.000","-99.000","-99.000","-99.000","18.900","","16.800",""
"C0X080","2020-02-28 00:00:00","2.000","11.000","1.600","19.100","0.880","1019.200","","0.000","-99.000","-99.000","-99.000","28.400","","18.600",""
"C0G910","2020-02-28 00:00:00","42.000","0.000","0.100","18.300","0.910","1015.300","","0.000","-99.000","-99.000","-99.000","23.700","","18.300",""
"C0I480","2020-02-28 00:00:00","2165.000","231.000","0.400","6.800","0.870","792.600","","0.000","-99.000","-99.000","-99.000","16.200","","6.100",""
"C0A860","2020-02-28 00:00:00","362.000","52.000","2.600","16.700","1.000","979.500","","39.000","-99.000","-99.000","-99.000","16.700","","14.200",""
"C0U940","2020-02-28 00:00:00","25.000","251.000","1.200","17.500","0.990","1019.900","","10.500","-99.000","-99.000","-99.000","20.000","","17.200",""
"C0S970","2020-02-28 00:00:00","19.000","317.000","0.800","21.200","0.770","1018.500","","4.500","-99.000","-99.000","-99.000","23.600","","20.500",""
"C0V260","2020-02-28 00:00:00","126.000","211.000","0.900","21.000","0.870","1004.600","","0.000","-99.000","-99.000","-99.000","29.500","","18.900",""
"C0H990","2020-02-28 00:00:00","3076.000","248.000","2.300","3.600","0.690","708.700","","0.000","-99.000","-99.000","-99.000","10.500","","2.100",""
"C0F9K0","2020-02-28 00:00:00","30.000","35.000","1.500","18.600","0.880","1014.600","","0.000","-99.000","-99.000","-99.000","21.300","","18.400",""
"C0AH90","2020-02-28 00:00:00","660.000","0.000","0.000","15.100","0.990","949.100","","9.500","-99.000","-99.000","-99.000","17.000","","13.900",""
"C0W150","2020-02-28 00:00:00","42.000","66.000","3.800","17.100","0.740","1017.800","","0.000","-99.000","-99.000","-99.000","20.800","","15.700",""
"C0F000","2020-02-28 00:00:00","273.000","84.000","1.100","16.500","1.000","985.500","","0.000","-99.000","-99.000","-99.000","22.200","","16.200",""
"C0K410","2020-02-28 00:00:00","20.000","9.000","1.800","18.600","0.850","1016.100","","0.000","-99.000","-99.000","-99.000","24.700","","18.600",""
"C0R140","2020-02-28 00:00:00","740.000","184.000","0.300","16.500","0.990","938.000","","0.000","-99.000","-99.000","-99.000","23.300","","16.100",""
"C0V800","2020-02-28 00:00:00","256.000","0.000","0.000","21.600","0.880","988.100","","0.000","-99.000","-99.000","-99.000","26.600","","18.600",""
"C0S830","2020-02-28 00:00:00","288.000","278.000","0.500","19.000","0.820","989.800","","1.000","-99.000","-99.000","-99.000","21.700","","18.000",""
"C0S920","2020-02-28 00:00:00","98.000","0.000","0.000","20.100","0.870","1005.000","","0.000","-99.000","-99.000","-99.000","23.700","","19.500",""
"C0V640","2020-02-28 00:00:00","35.000","13.000","1.700","21.100","0.870","1015.500","","0.000","-99.000","-99.000","-99.000","27.200","","21.000",""
"C0AH80","2020-02-28 00:00:00","68.000","52.000","1.400","18.600","0.950","1012.600","","0.000","-99.000","-99.000","-99.000","19.100","","16.900",""
"C0K250","2020-02-28 00:00:00","12.000","8.000","0.500","17.900","0.920","1018.100","","0.000","-99.000","-99.000","-99.000","25.900","","17.800",""
